Ticker,Market_Cap,Quote_Type,Shares,Currency,Exchange,Time_Zone
A,42541782978.515625,EQUITY,287328000.0,USD,NYQ,America/New_York
AA,10147603738.28888,EQUITY,258406000.0,USD,NYQ,America/New_York
AACT,676874995.2316284,EQUITY,62500000.0,USD,NYQ,America/New_York
AAM,440179740.0,EQUITY,43974000.0,USD,NYQ,America/New_York
AAN,317085546.0178375,EQUITY,31550800.0,USD,NYQ,America/New_York
AAP,2469322597.739029,EQUITY,59674300.0,USD,NYQ,America/New_York
AAT,2048098049.7561035,EQUITY,77083104.0,USD,NYQ,America/New_York
AB,4012810997.615814,EQUITY,114619000.0,USD,NYQ,America/New_York
ABBV,344065350507.74805,EQUITY,1766339968.0,USD,NYQ,America/New_York
ABCB,4235188418.9224243,EQUITY,69067000.0,USD,NYQ,America/New_York
ABEV,37742881038.967285,EQUITY,15726199808.0,USD,NYQ,America/New_York
ABG,4882137556.948853,EQUITY,19980100.0,USD,NYQ,America/New_York
ABM,3224961206.324768,EQUITY,62791300.0,USD,NYQ,America/New_York
ABR,2952677185.949707,EQUITY,188548992.0,USD,NYQ,America/New_York
ABT,196390479530.83496,EQUITY,1746780032.0,USD,NYQ,America/New_York
AC,741918550.7194519,EQUITY,21270600.0,USD,NYQ,America/New_York
ACA,4610088000.0,EQUITY,48784000.0,USD,NYQ,America/New_York
ACCO,518266083.3824158,EQUITY,95797800.0,USD,NYQ,America/New_York
ACEL,956084610.7818604,EQUITY,82634800.0,USD,NYQ,America/New_York
ACHR,1242861818.413948,EQUITY,404840992.0,USD,NYQ,America/New_York
ACI,10708187823.286743,EQUITY,579134016.0,USD,NYQ,America/New_York
ACM,13839736860.054016,EQUITY,134067000.0,USD,NYQ,America/New_York
ACN,222737220779.92188,EQUITY,636937984.0,USD,NYQ,America/New_York
ACP,339236111.9270325,EQUITY,52110000.0,USD,NYQ,America/New_York
ACR,122271259.79762077,EQUITY,7873230.0,USD,NYQ,America/New_York
ACRE,398531693.88041496,EQUITY,54518700.0,USD,NYQ,America/New_York
ACV,222656774.8790741,EQUITY,10370600.0,USD,NYQ,America/New_York
ADC,7529768934.249878,EQUITY,100625000.0,USD,NYQ,America/New_York
ADCT,297798096.3033142,EQUITY,96687696.0,USD,NYQ,America/New_York
ADM,28688520960.0,EQUITY,478142016.0,USD,NYQ,America/New_York
